Selections giving rise to mutants of <em>E. coli</em> and <em>S. typhimurium</em>
Type;Selection purpose and technique;Mutant gene
Expansion of metabolic capacity;Glucosamine as anaerobic C source in <em>ptsG</em>;dgsA
Expansion of metabolic capacity;Glucose 1-phosphate as C source;uhpR
Expansion of metabolic capacity;Glucose as C source in ∆<em>ptsHI</em>;galC
Expansion of metabolic capacity;Glucose as C source in <em>ppc</em>;iclR
Expansion of metabolic capacity;Glucose as C source in ∆<em>ptsHI</em>;galR
Expansion of metabolic capacity;Glucosides (β) as C source;gyrA (hisU)
Expansion of metabolic capacity;Glucosides (β) as C source;gyrB (hisW)
Expansion of metabolic capacity;Glutamate as C source;gadS
Expansion of metabolic capacity;Glutamate as C source;gltH
Expansion of metabolic capacity;Glutamate as C source;gltS
Expansion of metabolic capacity;Glutamate as C source at 42°C;gltR
Expansion of metabolic capacity;Glutamine as C source;glnP
Expansion of metabolic capacity;Glycerol as C source in <em>ppc</em>;iclR
Expansion of metabolic capacity;Glycerol + gluconate as C source in <em>eda</em>;gntM
Expansion of metabolic capacity;Glycerol + methylglucuronide as C source in <em>eda</em>;gurBCD
Expansion of metabolic capacity;Glycerol 3-phosphate as C source in <em>glpT</em>;ugpAB
Expansion of metabolic capacity;Hemin satisfaction of <em>hemA</em> auxotroph;hemB
Expansion of metabolic capacity;Hemin satisfaction of <em>hemA</em> auxotroph;rfa
Expansion of metabolic capacity;Hexuronate as C source in noninducible strain;exuR
Expansion of metabolic capacity;Histidinal satisfaction of <em>his</em> auxotroph requirement at 30°C;his structural genes
Expansion of metabolic capacity;Histidinal satisfaction of <em>his</em> auxotroph requirement at 30°C;hisG
Expansion of metabolic capacity;Histidine (D) satisfaction of <em>his</em> auxotroph requirement;his structural genes
Expansion of metabolic capacity;Histidine (D) satisfaction of <em>his</em> auxotroph requirement;hisG
Expansion of metabolic capacity;Histidine (D) satisfaction of <em>his</em> auxotroph requirement;dhuA
Expansion of metabolic capacity;Histidine as C source;hut
Expansion of metabolic capacity;Histidine as N source;hut
Expansion of metabolic capacity;Improved growth in <em>icd</em>;gltA
Expansion of metabolic capacity;Inosine as C source in <em>upp deoD</em>;xapR
Expansion of metabolic capacity;Inosine as improved C source;deoR
Expansion of metabolic capacity;Keto(2)-3-deoxygalactonate as C source;kdgR
Expansion of metabolic capacity;Keto(2)-3-deoxygalactonate as C source;dgoR
Expansion of metabolic capacity;Lactate + fumarate as anaerobic energy source;chlABDE
Expansion of metabolic capacity;Lactate + nitrate as anaerobic energy source (<em>chl</em> to <em>chl</em>+);chlE
Expansion of metabolic capacity;Lactitol as C source;lacI, operator
Expansion of metabolic capacity;Lactobionic acid as C source;lacI, operator
Expansion of metabolic capacity;Lactobionic acid as C source;lacZ
Expansion of metabolic capacity;Lactose utilization after conjugation of F′<em>lac</em> into <em>Salmonella</em> sp.;hsd
Expansion of metabolic capacity;Lactose utilization in ∆<em>lacZ</em>;ebgA
Expansion of metabolic capacity;Leucine (D) satisfaction of <em>leu</em> auxotrophs;lrp (livR, lstR, lss, mbl, oppl)
Expansion of metabolic capacity;Lyxose (D) as C source;manC
Expansion of metabolic capacity;Malate (L) as improved C source;dct
Expansion of metabolic capacity;Malate (D) as C source;dml
Expansion of metabolic capacity;Maltose as C source in <em>malT</em>;malP
Expansion of metabolic capacity;Maltose as C source in <em>malT</em>;malQ
Expansion of metabolic capacity;Maltose utilization in <em>malT</em>;bymA
Expansion of metabolic capacity;Mannitol (limiting) as C source;mtlC
Expansion of metabolic capacity;Mannose as C source;ptdG
Expansion of metabolic capacity;Melibiose as C source;lacI, operator
Expansion of metabolic capacity;Melibiose as C source and acetyl(<em>N</em>)lactonate as N source;lacI, operator
Expansion of metabolic capacity;Methyl-β-galactoside-supported growth;mglD
Expansion of metabolic capacity;Methylgalacturonide as C source;uidA
Expansion of metabolic capacity;Methylgalacturonide as C source;uidR
Expansion of metabolic capacity;Methylgalacturonide as C source;uxuR
Expansion of metabolic capacity;Methyl(β)glucoside as C source;bglT
Expansion of metabolic capacity;Methylglucuronide + glycerol-supported growth;uidA
Expansion of metabolic capacity;Neolactose as C source;lacI, operator
Expansion of metabolic capacity;Nicotinamide as sole N source;pncA
Expansion of metabolic capacity;Phenylgalactoside as C source;lacI, operator
Expansion of metabolic capacity;Proline as sole N source with glucose as C source;putA
Expansion of metabolic capacity;Proline-independent growth of <em>proAB</em>;argD
Expansion of metabolic capacity;Propanediol as C source;fucA
Expansion of metabolic capacity;Propionate as C source;prp
Expansion of metabolic capacity;Raffinose as C source in <em>lacI</em>;mel (generic)
Expansion of metabolic capacity;Raffinose as C source;lacI, operator
Expansion of metabolic capacity;Ribitol utilization;gatACD
Expansion of metabolic capacity;Salicin as C source;bglB,C
Expansion of metabolic capacity;Salicin as C source;osmZ
Expansion of metabolic capacity;Serine (L) as C source;cpxA
Expansion of metabolic capacity;Serine (L) as C source;ecfB
Expansion of metabolic capacity;Sorbose (L) as C source in crosses with wild strains;sorAT
Expansion of metabolic capacity;Streptomycin independence of <em>rpsL</em>;rpsD
Expansion of metabolic capacity;Streptomycin independence of <em>rpsL</em>;rpsE
Expansion of metabolic capacity;Succinate as improved C source;cpd
Expansion of metabolic capacity;Succinate-independent growth in <em>lpd</em>;sdh
Expansion of metabolic capacity;Sucrose as C source;dsdA
Expansion of metabolic capacity;Sucrose as C source;dsdC
Expansion of metabolic capacity;Threonine as N source;ilvA
Expansion of metabolic capacity;Tyramine as N source;tyn
Expansion of metabolic capacity;Uridine as C source, improved utilization;cytR
Expansion of metabolic capacity;Valerate as C source in <em>fadR</em>(Con);atoC
Expansion of metabolic capacity;Xylitol as C source in propanediol utilizer;fucA
Resistance to inorganic chemicals;Acid resistance;atr
Resistance to inorganic chemicals;Acid resistance;phoE
Resistance to inorganic chemicals;Arsenate resistance;glpT
Resistance to inorganic chemicals;Arsenate resistance;phoR
Resistance to inorganic chemicals;Arsenate resistance;phoS
Resistance to inorganic chemicals;Arsenate resistance;phoT
Resistance to inorganic chemicals;Arsenate resistance;pstABCS
Resistance to inorganic chemicals;Arsenate resistance;pit
Resistance to inorganic chemicals;Azide resistance;atpA–atpE
Resistance to inorganic chemicals;Azide resistance;cysB
Resistance to inorganic chemicals;Azide resistance;cysK
Resistance to inorganic chemicals;Azide resistance;secA
Resistance to inorganic chemicals;Chlorate resistance;chlABCDEG
Resistance to inorganic chemicals;Chlorate resistance;narCG
Resistance to inorganic chemicals;Chlorate resistance;narH
Resistance to inorganic chemicals;Chromate + selenate resistance;cysL
Resistance to inorganic chemicals;Chromate resistance;cysA
Resistance to inorganic chemicals;Chromate resistance;cysB
Resistance to inorganic chemicals;Chromate resistance;cysC
Resistance to inorganic chemicals;Chromate resistance;cysD
Resistance to inorganic chemicals;Chromate resistance;cysH
Resistance to inorganic chemicals;Chromate resistance;cysI
Resistance to inorganic chemicals;Chromate resistance;cysJ
Resistance to inorganic chemicals;Copper resistance in <em>ompC</em>;ompF
Resistance to inorganic chemicals;Copper resistance;ompR
Resistance to inorganic chemicals;Diazoborine resistance;envM
Resistance to inorganic chemicals;Lithium resistance (multicopy);nhaA
Resistance to inorganic chemicals;Lithium-resistant utilization of melibiose;melB
Resistance to inorganic chemicals;Manganese resistance;corABCD
Resistance to inorganic chemicals;Manganese resistance;fur
Resistance to inorganic chemicals;Manganese resistance;mng
Resistance to inorganic chemicals;Nickel resistance;corABCD
Resistance to inorganic chemicals;Osmotolerance;crp
Resistance to inorganic chemicals;Osmotolerance;cyaA
Resistance to inorganic chemicals;Osmotolerance;osmB
Resistance to inorganic chemicals;Osmotolerance;proA
Resistance to inorganic chemicals;Osmotolerance;proB
Resistance to inorganic chemicals;Peroxide resistance;oxyR
Resistance to inorganic chemicals;Selenate resistance;cysA
Resistance to inorganic chemicals;Selenate resistance;cysB
Resistance to inorganic chemicals;Selenate resistance in <em>cysM</em>;cysB
Resistance to inorganic chemicals;Selenate resistance;cysK
Resistance to inorganic chemicals;Selenate resistance;cysL
Resistance to inorganic chemicals;Selenite resistance;cysK
Resistance to inorganic chemicals;Selenite resistance;gshA
Resistance to inorganic chemicals;Selenite resistance;gshB
Resistance to inorganic chemicals;Tellurite resistance;phoB
Resistance to inorganic chemicals;Tributyl tin resistance;atpA–atpE
Resistance to biological and organic chemicals;Acetylnorvaline resistance in <em>argR</em>(Con);argE
Resistance to biological and organic chemicals;Acetylnorvaline resistance in <em>argR</em>(Con);argR
Resistance to biological and organic chemicals;Acridine resistance;dnaE
Resistance to biological and organic chemicals;Actinomycin D resistance in the presence of EDTA;pldA
Resistance to biological and organic chemicals;Adenine resistance in <em>hpt gpt</em>;apt
Resistance to biological and organic chemicals;Adenine resistance in <em>hpt gpt</em>;purR
Resistance to biological and organic chemicals;Alafosfalin resistance;pepA
Resistance to biological and organic chemicals;Alafosfalin resistance;tpp
Resistance to biological and organic chemicals;Alanyl-2-aminopropionate resistance;oppA
Resistance to biological and organic chemicals;Albicidin resistance;tsx
Resistance to biological and organic chemicals;Albomycin resistance;exbB
Resistance to biological and organic chemicals;Albomycin resistance;fhuA
Resistance to biological and organic chemicals;Albomycin resistance;fhuB
Resistance to biological and organic chemicals;Albomycin resistance;pepN
Resistance to biological and organic chemicals;Albomycin resistance;sidCF
Resistance to biological and organic chemicals;Albomycin resistance;sidK
Resistance to biological and organic chemicals;Albomycin resistance;tonB
Resistance to biological and organic chemicals;Aldohexuronate resistance in <em>eda</em>;exuT
Resistance to biological and organic chemicals;Aldohexuronate resistance in <em>eda</em>;exuR
Resistance to biological and organic chemicals;Allyl alcohol resistance;adhE
Resistance to biological and organic chemicals;Amidinopenicillin tolerance;sloB
Resistance to biological and organic chemicals;Amikacin resistance;cpxA
Resistance to biological and organic chemicals;Amino(2)purine resistance in <em>dam</em>;mutH
Resistance to biological and organic chemicals;Amino(2)purine resistance in <em>dam</em>;mutL
Resistance to biological and organic chemicals;Amino(2)purine resistance in <em>dam</em>;mutS
Resistance to biological and organic chemicals;Amino(4)phenylalanine resistance;aroF
Resistance to biological and organic chemicals;Amino(4)phenylalanine resistance;tyrA
Resistance to biological and organic chemicals;Amino(4)phenylalanine resistance;tyrR
Resistance to biological and organic chemicals;Amino(6)nicotinamide resistance;nadA
Resistance to biological and organic chemicals;Amino(6)nicotinamide resistance;nadD
Resistance to biological and organic chemicals;Amino(6)nicotinamide resistance;pncA
Resistance to biological and organic chemicals;Amino(6)nicotinamide resistance;pncB
Resistance to biological and organic chemicals;Amino(6)nicotinamide resistance;pncX
Resistance to biological and organic chemicals;Amino(6)nicotinate resistance;pncB
Resistance to biological and organic chemicals;Aminobutyrate resistance;ilv structural genes
Resistance to biological and organic chemicals;Aminobutyrate resistance;ilvB
Resistance to biological and organic chemicals;Aminobutyrate resistance;ilvH
Resistance to biological and organic chemicals;Aminobutyrate resistance;ilvI
Resistance to biological and organic chemicals;Aminoethylcysteine (thialysine) resistance;lysC
Resistance to biological and organic chemicals;Aminoethylcysteine (thialysine) resistance;lysP
Resistance to biological and organic chemicals;Aminoethylcysteine (thialysine) resistance;lysS
Resistance to biological and organic chemicals;Aminoglycoside resistance;nek
Resistance to biological and organic chemicals;Amino(2)hydroxy(3)pentoate resistance;thr structural genes
Resistance to biological and organic chemicals;Aminopterin resistance;thyA
Resistance to biological and organic chemicals;Aminotriazole resistance;amtA, amtB
Resistance to biological and organic chemicals;Aminotriazole resistance;his structural genes
Resistance to biological and organic chemicals;Aminotriazole resistance in <em>relA</em>;gyrB
Resistance to biological and organic chemicals;Ampicillin resistance;ampC
Resistance to biological and organic chemicals;Ampicillin resistance;ampD
Resistance to biological and organic chemicals;Ampicillin resistance;ampE
Resistance to biological and organic chemicals;Ampicillin resistance;envZ
Resistance to biological and organic chemicals;Ampicillin resistance;galU
Resistance to biological and organic chemicals;Ampicillin resistance;hipA
Resistance to biological and organic chemicals;Ampicillin resistance;hipQ
Resistance to biological and organic chemicals;Ampicillin resistance;ompC
Resistance to biological and organic chemicals;Ampicillin resistance;ompF
Resistance to biological and organic chemicals;Ampicillin resistance;ompR
Resistance to biological and organic chemicals;Ampicillin resistance;ptsI
Resistance to biological and organic chemicals;Ampicillin resistance;rfa (general)
Resistance to biological and organic chemicals;Ampicillin resistance;tolD
Resistance to biological and organic chemicals;Ampicillin resistance;tolE
Resistance to biological and organic chemicals;Arabinitol (D) resistance;mtlA
Resistance to biological and organic chemicals;Arbitol (D) resistance;gatACD
Resistance to biological and organic chemicals;Arbutin resistance in <em>dgk</em>;mdoB
Resistance to biological and organic chemicals;Arginine-resistant, proline-independent growth of ∆<em>pro</em>;argR
Resistance to biological and organic chemicals;Auroventin resistance;atpA–atpE
Resistance to biological and organic chemicals;Aza(5)cytidine resistance;dcm
Resistance to biological and organic chemicals;Azadeoxycytidine resistance;cdd
Resistance to biological and organic chemicals;Aza(6)uracil resistance;gpt
Resistance to biological and organic chemicals;Aza(8)guanine resistance;ndk
Resistance to biological and organic chemicals;Aza(8)guanine resistance;upp
Resistance to biological and organic chemicals;Azaleucine resistance;aroP
Resistance to biological and organic chemicals;Azaleucine resistance;azl
Resistance to biological and organic chemicals;Azaleucine resistance;tolB
Resistance to biological and organic chemicals;Azaleucine resistance;leuS
Resistance to biological and organic chemicals;Azaleucine resistance;livG
Resistance to biological and organic chemicals;Azaleucine resistance;livH
Resistance to biological and organic chemicals;Azaserine + tryptophan resistance;dhuA
Resistance to biological and organic chemicals;Azaserine + tryptophan resistance in <em>dhuA</em>;hisJ
Resistance to biological and organic chemicals;Azaserine resistance;aroP
Resistance to biological and organic chemicals;Azaserine resistance;azaAB
Resistance to biological and organic chemicals;Azaserine resistance;cysA
Resistance to biological and organic chemicals;Azaserine resistance;cysB
Resistance to biological and organic chemicals;Azaserine resistance;cysC
Resistance to biological and organic chemicals;Azaserine resistance;cysD
Resistance to biological and organic chemicals;Azaserine resistance;cysE
Resistance to biological and organic chemicals;Azaserine resistance;cysG
Resistance to biological and organic chemicals;Azaserine resistance;cysH
Resistance to biological and organic chemicals;Azaserine resistance;cysI
Resistance to biological and organic chemicals;Azaserine resistance;cysJ
Resistance to biological and organic chemicals;Azaserine resistance;cysK
Resistance to biological and organic chemicals;Azaserine resistance;cysM
Resistance to biological and organic chemicals;Azaserine resistance;mut (generic)
Resistance to biological and organic chemicals;Azetidine carboxylate resistance;proB
Resistance to biological and organic chemicals;Azetidine carboxylate resistance;putA
Resistance to biological and organic chemicals;Azetidine carboxylate resistance;putP
Resistance to biological and organic chemicals;Azidothymidine resistance;tdk
Resistance to biological and organic chemicals;Bacilysin resistance;dppA
Resistance to biological and organic chemicals;Bacitracin resistance;rfa
Resistance to biological and organic chemicals;Bacteriocin resistance;tol
Resistance to biological and organic chemicals;Bacteriocin 4-59 resistance;ompA
Resistance to biological and organic chemicals;Bacteriocin 4-59 resistance;tonB
Resistance to biological and organic chemicals;Bacteriocin JF246 resistance;ompA
Resistance to biological and organic chemicals;Baikiain resistance in constitutive background;putA
Resistance to biological and organic chemicals;β-Glycerol-phosphate resistance in <em>glpD</em>;phoA
Resistance to biological and organic chemicals;Beta-lactam conjugate resistance;fhuA
Resistance to biological and organic chemicals;Beta-lactam resistance (see mecillinam resistance);crp
Resistance to biological and organic chemicals;Beta-lactam resistance;cyaA
Resistance to biological and organic chemicals;Beta-lactam resistance;lyt
Resistance to biological and organic chemicals;Beta-lactam resistance;alaS
Resistance to biological and organic chemicals;Beta-lactam resistance;argS
Resistance to biological and organic chemicals;Bialaphos resistance;dppA
Resistance to biological and organic chemicals;Borrelidin resistance;thrS
Resistance to biological and organic chemicals;Bromodeoxyuridine + UV light resistance;ung
Resistance to biological and organic chemicals;Cadaverine resistance;cadB
Resistance to biological and organic chemicals;Caffeine resistance;glnV
Resistance to biological and organic chemicals;Calmodulin inhibitor resistance;leuW
Resistance to biological and organic chemicals;cAMP + glucose 6-phosphate + D-xylose + L-arabinose resistance;crp
Resistance to biological and organic chemicals;cAMP + glucose 6-phosphate resistance;crp
Resistance to biological and organic chemicals;Camphor resistance;mbrABCD
Resistance to biological and organic chemicals;Canavanine + azauracil resistance;argR
Resistance to biological and organic chemicals;Canavanine + thiouracil resistance;upp
Resistance to biological and organic chemicals;Canavanine + thiouracil resistance;argP
Resistance to biological and organic chemicals;Canavanine resistance;argS
Resistance to biological and organic chemicals;Canavanine resistance;argP
Resistance to biological and organic chemicals;Canavanine resistance;argR
Resistance to biological and organic chemicals;CCCP resistance;atpA–atpE
Resistance to biological and organic chemicals;CCCP resistance due to gene dosage;emrB
Resistance to biological and organic chemicals;Cephalosporin E-0702 resistance;tonB
Resistance to biological and organic chemicals;Cephalothin resistance;rfa
Resistance to biological and organic chemicals;Chelator resistance;ompA
Resistance to biological and organic chemicals;Chloramphenicol resistance;cmlA
Resistance to biological and organic chemicals;Chloramphenicol resistance;marA
Resistance to biological and organic chemicals;Chloramphenicol resistance;rrn
Resistance to biological and organic chemicals;Chloramphenicol resistance;ompF
Resistance to biological and organic chemicals;Chloramphenicol resistance;ompR
Resistance to biological and organic chemicals;Chloro(β)-D-alanine resistance;dadA
Resistance to biological and organic chemicals;Chloro(β)-D-alanine resistance;metC (ecfA)
Resistance to biological and organic chemicals;Chloro-3-hydroxyacetone resistance in <em>uhp</em>(Con);uhpT
Resistance to biological and organic chemicals;Chloroacetaldehyde resistance;adhCE
Resistance to biological and organic chemicals;Chloroacetate(β) resistance;cbt
Resistance to biological and organic chemicals;Chlorobiocin resistance;gyrB
Resistance to biological and organic chemicals;Chloroethanol resistance;adhCE
Resistance to biological and organic chemicals;Chlorohydroxyacetone phosphate resistance;glpT
Resistance to biological and organic chemicals;Chlorpromazine resistance;lon
Resistance to biological and organic chemicals;Chuangxinmycin resistance;trpR
Resistance to biological and organic chemicals;Cloacin DF13 resistance;ompF
Resistance to biological and organic chemicals;Coenzyme A feedback resistance;coaA
Resistance to biological and organic chemicals;Colicin “ K-type” tolerance;hemB
Resistance to biological and organic chemicals;Colicin (multiple) resistance;envZ
Resistance to biological and organic chemicals;Colicin (other) resistance;exbB
Resistance to biological and organic chemicals;Colicin (other) resistance;exbC
Resistance to biological and organic chemicals;Colicin A tolerance;cpxA
Resistance to biological and organic chemicals;Colicin A tolerance;ompF
Resistance to biological and organic chemicals;Colicin A group tolerance;cirA
Resistance to biological and organic chemicals;Colicin A group tolerance;tolQ
Resistance to biological and organic chemicals;Colicin B resistance;exbC
Resistance to biological and organic chemicals;Colicin B resistance;fepABCDG
Resistance to biological and organic chemicals;Colicin B resistance;tonB
Resistance to biological and organic chemicals;Colicin B tolerance;cbt
Resistance to biological and organic chemicals;Colicin D resistance;cbt
Resistance to biological and organic chemicals;Colicin D tolerance;tolB
Resistance to biological and organic chemicals;Colicin E resistance;tolC
Resistance to biological and organic chemicals;Colicin E1 tolerance;cet
Resistance to biological and organic chemicals;Colicin E1 tolerance;tolQAB
Resistance to biological and organic chemicals;Colicin E2 tolerance;ompF
Resistance to biological and organic chemicals;Colicin E3 tolerance;btuB
Resistance to biological and organic chemicals;Colicin E3 tolerance;tolR
Resistance to biological and organic chemicals;Colicin E2 and E3 tolerance;tolE
Resistance to biological and organic chemicals;Colicin E2 and E3 tolerance;tolZ
Resistance to biological and organic chemicals;Colicin E2, E3, D, Ia, and Ib tolerance;tolI
Resistance to biological and organic chemicals;Colicin I resistance;exbB
Resistance to biological and organic chemicals;Colicin I resistance;exbC
Resistance to biological and organic chemicals;Colicin I resistance;ecfB
Resistance to biological and organic chemicals;Colicin Ia and Ib tolerance;tolJ
Resistance to biological and organic chemicals;Colicin K resistance;metC (ecfA)
Resistance to biological and organic chemicals;Colicin K resistance;tsx
Resistance to biological and organic chemicals;Colicin K resistance;ompA
Resistance to biological and organic chemicals;Colicin K tolerance;ompA
Resistance to biological and organic chemicals;Colicin K tolerance;ompF
Resistance to biological and organic chemicals;Colicin L tolerance;envZ
Resistance to biological and organic chemicals;Colicin L tolerance;ompF
Resistance to biological and organic chemicals;Colicin L tolerance;fhuA
Resistance to biological and organic chemicals;Colicin L, A, and S4 tolerance;fepABCDG
Resistance to biological and organic chemicals;Colicin M resistance;tonB
Resistance to biological and organic chemicals;Colicin M resistance;tolM
Resistance to biological and organic chemicals;Colicin M tolerance;tolD
Resistance to biological and organic chemicals;Coumermycin resistance;gyrB
Resistance to biological and organic chemicals;Coumermycin resistance;hisW
Resistance to biological and organic chemicals;Cyclopentane glycine resistance;ilv structural genes
Resistance to biological and organic chemicals;Cyclopentane glycine resistance;ilvA
Resistance to biological and organic chemicals;Cycloserine resistance;hipA
Resistance to biological and organic chemicals;Cycloserine (D) resistance;cycA
Resistance to biological and organic chemicals;Dapsone resistance;thdA
Resistance to biological and organic chemicals;Dehydrobiotin resistance;bio operon
Resistance to biological and organic chemicals;Dehydrobiotin resistance;bioP
Resistance to biological and organic chemicals;Dehydrobiotin resistance;birA
Resistance to biological and organic chemicals;Dehydroproline + azetidine carboxylate resistance at high osmolarity in <em>putA</em><em>putP</em>;proU
Resistance to biological and organic chemicals;Dehydroproline resistance;proB
Resistance to biological and organic chemicals;Dehydroproline resistance in <em>putA putP</em>;proP
Resistance to biological and organic chemicals;Deoxy(2)adenosine resistance in <em>deoC</em>;deoD
Resistance to biological and organic chemicals;Deoxyadenosine + fluorouracil resistance in <em>upp</em>;deoA
Resistance to biological and organic chemicals;Deoxyadenosine + fluorouracil resistance in <em>upp</em>;deoD
Resistance to biological and organic chemicals;Deoxydihydroxyphosphonyl methyl fructose resistance;uhpT
Resistance to biological and organic chemicals;Deoxy(3)-3-fluoroglucose-independent utilization of lactate;ptsHIG
Resistance to biological and organic chemicals;Deoxy(3)-3-fluoroglucose-independent utilization of fructose;ptsG
Resistance to biological and organic chemicals;Deoxy(3)-3-fluoroglucose resistance;ptsI
Resistance to biological and organic chemicals;Deoxy(2)galactitol resistance in galicitol utilizer;gatACD
Resistance to biological and organic chemicals;Deoxy(2)galactose resistance;gal operon
Resistance to biological and organic chemicals;Deoxy(2)galactose resistance;galE
Resistance to biological and organic chemicals;Deoxy(2)galactose resistance;galK
Resistance to biological and organic chemicals;Deoxy(2)galactose resistance;galP
Resistance to biological and organic chemicals;Deoxy(2)glucose-resistant utilization of melibiose;melB
Resistance to biological and organic chemicals;Deoxyglucose resistance;manXYZ
Resistance to biological and organic chemicals;Deoxy(2)glucose-6-phosphate resistance;uhpT
Resistance to biological and organic chemicals;Deoxy(2)glucose-resistant fructose utilization;fruA
Resistance to biological and organic chemicals;Deoxy(2)glucose-resistant fructose utilization;ptsG
Resistance to biological and organic chemicals;Deoxy(2)-2-iodoacetamidoglucose resistance;nagE
Resistance to biological and organic chemicals;Diamino(2,6)purine resistance;apt
Resistance to biological and organic chemicals;Diamino(2,6)purine resistance in <em>pnp</em>;apt
Resistance to biological and organic chemicals;Dicyclohexylcarbodiimide resistance in <em>rfa</em>;rfb
