26;Apirion, D;1967;. Three genes that affect <i>Escherichia coli</i> ribosomes. ;J. Mol. Biol. 30:255–275.
27;Apirion, D., and D. Schlessinger;1968;. Coresistance to neomycin and kanamycin by mutations in an <i>Escherichia coli</i> locus that affects ribosomes. ;J. Bacteriol. 96:768–776.
28;Archibold, E. R., and L. S. Williams;1973;. Regulation of methionyl-transfer ribonucleic acid synthetase formation in <i>Escherichia coli</i> and <i>Salmonella typhimurium.</i> ;J. Bacteriol. 114:1007–1013.
29;Argast, M., D. Ludtke, T. J. Silhavy, and W. Boos;1978;. A second transport system for <i>sn</i>- glycerol-3-phosphate in <i>Escherichia coli.</i> ;J. Bacteriol. 136:1070–1083.
30;Armstrong, G. D., and H. Yamazaki;1977;. Isolation and characterization of catabolite repression resistant mutants of <i>Escherichia coli.</i> ;Can. J. Microbiol. 23:1384–1393.
31;Artman, M., and S. Werthamer;1979;. Use of streptomycin and cyclic adenosine 5′- monophosphate in the isolation of mutants deficient in CAP protein. ;J. Bacteriol. 120:542–544.
32;Ashton, D. M., G. D. Sweet, J. M. Somers, and W. W. Kay;1980;. Citrate transport in <i>Salmonella typhimurium:</i> studies with 2-fluoro-L-<i>erythro</i>-citrate as a substrate. ;Can. J. Biochem. 58:797–803.
33;Astvatsaturyants, G. V., A. F. Lysenkov, Y. V. Smirnov, R. and R. S. Shakulov;1988;. Mutants of <i>Escherichia coli</i> with impaired feedback inhibition of histidine biosynthesis. ;Genetika 24:1928– 1934.
34;Aswad, D., and D. E. Koshland, Jr;1975;. Isolation, characterization and complementation of <i>Salmonella typhimurium</i> chemotaxis mutants. ;J. Mol. Biol. 97:225–235.
35;Austin, E. A., J. F. Graves, L. A. Hite, C. T. Parker, and C. A. Schnaitman;1990;. Genetic analysis of lipopolysaccharide core biosynthesis by <i>Escherichia coli</i> K-12 insertion mutagenesis of the <i>rfa</i> locus. ;J. Bacteriol. 172:5312–5325.
36;Austin, S., and J. Scaife;1970;. A new method for selecting RNA polymerase mutants. ;J. Mol. Biol. 49:263–267.
37;Ayling, P. D;1981;. Methionine sulfoxide is transported by high-affinity methionine and glutamine transport systems in <i>Salmonella typhimurium.</i> ;J. Bacteriol. 148:514–520.
38;Ayling, P. D., and E. S. Bridgeland;1972;. Methionine transport in wild-type and transport- defective mutants of <i>Salmonella typhimurium.</i> ;J. Gen. Microbiol. 73:127–141.
39;Bachi, B., and H. L. Kornberg;1975;. Genes involved in the uptake and catabolism of gluconate by <i>Escherichia coli.</i> ;J. Gen. Microbiol. 90:321–335.
40;Bachmann, B. J;1983;. Linkage map of <i>Escherichia coli</i> K-12, edition 7. ;Microbiol. Rev. 47:180–230.
41;Bachmann, B. J;1990;. Linkage map of <i>Escherichia coli </i>K-12, edition 8. ;Microbiol. Rev. 54:130–197.
42;Balbinder, E., R. Callahan III, P. P. McCann, J. C. Cordero, A. R. Weber, A. M. Smith, and F. Angelosanto;1970;. Regulatory mutants of the tryptophan operon of <i>Salmonella typhimurium</i>. ;Genetics 66:31–53.
43;Barak, Z., and C. Gilvarg;1974;. Triornithine-resistant strains of <i>Escherichia coli.</i> Isolation, definition, and genetic studies. ;J. Biol. Chem. 249:143–148.
44;Barak, Z., and C. Gilvarg;1975;. Specialized peptide transport system in <i>Escherichia coli.</i> ;J. Bacteriol. 122:1200–1207.
45;Barrett, E. L., and D. L. Riggs;1982;. Evidence for a second nitrate reductase activity that is distinct from the respiratory enzyme in <i>Salmonella typhimurium.</i> ;J. Bacteriol. 150:563–571.
46;Bassford, P. J., Jr., C. Bradbeer, R. J. Kadner, and C. A. Schnaitman;1976;. Transport of vitamin B12 in <i>tonB</i> mutants of <i>Escherichia coli.</i> ;J. Bacteriol. 128:242–247.
47;Bassford, P. J., Jr., R. J. Kadner, and C. A. Schnaitman;1977;. Biosynthesis of the outer membrane receptor for vitamin B12, E colicins, and bacteriophage BF23 by <i>Escherichia coli:</i> kinetics of phenotypic expression after the introduction of <i>bfe</i>+ and <i>bfe</i> alleles. ;J. Bacteriol. 129:265–275.
48;Baughman, G. A., and S. R. Fahnestock;1979;. Chloramphenicol resistance mutation in <i>Escherichia coli</i> which maps in the major ribosomal protein gene cluster. ;J. Bacteriol. 137:1315– 1323.
49;Baumberg, S;1970;. Acetylhistidine as substrate for acetylornithinase: a new system for the selection of arginine regulation mutants in <i>Escherichia coli.</i> ;Mol. Gen. Genet. 106:162–173.
50;Baumberg, S;1976;. Genetic control of arginine metabolism in prokaryotes, p. 369–389. <i>In</i> K. D. MacDonald (ed.), ;Second International Symposium on the Genetics of Industrial Microorganisms. Academic Press (Inc.), London.
51;Beacham, I. R., and S. Garrett;1980;. Isolation of <i>Escherichia coli</i> mutants <i>(cpdB)</i> deficient in periplasmic 2′:3′-cyclic phosphodiesterase and genetic mapping of the <i>cpdB</i> locus. ;J. Gen. Microbiol. 119:31–34.
52;Beacham, I. R., R. Kahana, L. Levy, and E. Yagil;1973;. Mutants of <i>Escherichia coli</i> K-12 “cryptic” or deficient in 5′-nucleotidase (uridine diphosphate-sugar hydrolase) and 3′-nucleotidase (cyclic phosphodiesterase) activity. ;J. Bacteriol. 116:957–964.
53;Beck, C. F., and J. L. Ingraham;1971;. Location on the chromosome of <i>Salmonella typhimurium</i> of genes governing pyrimidine metabolism. ;Mol. Gen. Genet. 111:303–316.
54;Beck, C. F., J. L. Ingraham, and J. Neuhard;1972;. Location on the chromosome of <i>Salmonella</i> <i>typhimurium</i> of genes governing pyrimidine metabolism. II. Uridine kinase, cytosine deaminase, and thymidine kinase. ;Mol. Gen. Genet. 115:208–215.
55;Begg, K. J., G. F. Hatfull, and W. D. Donachie;1980;. Identification of new genes in a cell envelope-cell division gene cluster of <i>Escherichia coli:</i> cell division gene <i>ftsQ.</i> ;J. Bacteriol. 144:435–437.
56;Belfort, M., and D. L. Wulff;1973;. Genetic and biochemical investigation of the <i>Escherichia coli</i> mutant <i>hfl-1</i> which is lysogenized at high frequency by bacteriophage lambda. ;J. Bacteriol. 115:299– 306.
57;Beljanski, M., and M. Beljanski;1957;. Sur la formation d’enzymes respiratoires chez un mutant d’<i>Escherichia coli</i> streptomycino-résistant et auxotrophe pour l’hemine. ;Ann. Inst. Pasteur  92:396–412.
58;Beljanski, M., P. Bourgarel, and M. Beljanski;1970;. Showdomycine et biosynthèse d’ARN non complementaires de l’ADN. 1. ;Ann. Inst. Pasteur  118:253–276.
59;Bennett, R. L., and M. H. Malamy;1970;. Arsenate resistant mutants of <i>Escherichia coli</i> and phosphate transport. ;Biochem. Biophys. Res. Commun. 40:469–503.
60;Benson, C. E., S. H. Love, and C. N. Remy;1970;. Inhibition of de novo purine biosynthesis and interconversion by 6-methyl purine in <i>Escherichia coli.</i> ;J. Bacteriol. 101:872–880.
61;Berg, C. M;1990;. The branched chain amino acid transaminase genes and their products in <i>Escherichia coli,</i> p. 131–162. <i>In</i> Z. Barak, D. M. Chipman, and J. V. Schoss (ed.), ;Biosynthesis of Branched Chain Amino Acids. VCH Publishers, New York.
62;Berg, C. M., and J. J. Rossi;1974;. Proline excretion and indirect suppression in <i>Escherichia coli</i> and <i>Salmonella typhimurium.</i> ;J. Bacteriol. 118:928–939.
63;Bergler, H., G. Hogenauer, and F. Thurnowsky;1992;. Sequences of the <i>envM</i> gene and of two mutated alleles in <i>Escherichia coli.</i> ;J. Gen. Microbiol. 138:2093–2100.
64;Berman-Kurtz, M., E. C. C. Lin, and D. P. Richey;1971;. Promoter-like mutant with increased expression of the glycerol kinase operon of <i>Escherichia coli.</i> ;J. Bacteriol. 106:724–731.
65;Bernardi, A., and P. Leder;1970;. Protein biosynthesis in <i>Escherichia coli:</i> purification and characteristics of a mutant G factor. ;J. Biol. Chem. 245:4263–4268.
66;Bertino, J. B., and K. A. Stacey;1966;. A suggested mechanism for the selective procedure for isolating thymine-requiring mutants of <i>Escherichia coli.</i> ;Biochem. J. 101:32c-33c.
67;Beverin, S., D. E. Sheppard, and S. S. Park;1971;. D-Fucose as a gratuitous inducer of the L- arabinose operon in strains of <i>Escherichia coli</i> B/r mutant in gene <i>araC.</i> ;J. Bacteriol. 107:79–86.
68;Bewick, M. A., and T. C. Y. Lo;1980;. Localization of the dicarboxylate binding protein in the cell envelope of <i>Escherichia coli</i> K12. ;Can. J. Biochem. 58:885–897.
69;Birch, R. G., J. M. Pemberton, and W. V. S. Basnayake;1990;. Stable albicidin resistance in <i>Escherichia coli</i> involves an altered outer-membrane nucleoside uptake system. ;J. Gen. Microbiol. 136:51–58.
70;Black, P. N;1988;. The <i>fadL</i> gene product of <i>Escherichia coli</i> is an outer membrane protein required for uptake of long-chain fatty acids and involved in sensitivity in bacteriophage T2. ;J. Bacteriol. 170:2850–2854.
71;Blank, J., and P. Hoffee;1972;. Regulatory mutants of the <i>deo</i> regulon in <i>Salmonella typhimurium.</i> ;Mol. Gen. Genet. 116:291–298.
72;Bochner, B. R., H.-C. Huang, G. L. Schieven, and B. N. Ames;1980;. Positive selection for loss of tetracycline resistance. ;J. Bacteriol. 143:926–933.
73;Böck, A., F. Turnowsky, and G. Hoegenauer;1982;. Tiamulin resistance mutations in <i>Escherichia coli.</i> ;J. Bacteriol. 151:1253–1256.
74;Boeke, J. D., F. LaCroute, and G. R. Fink;1984;. A positive selection for mutants lacking orotidine-5′-phosphate decarboxylase activity in yeast: 5-fluoro-orotic acid resistance. ;Mol. Gen. Genet. 197:345–346.
75;Bogosian, G., P. V. Haydock, and R. L. Somerville;1983;. Indolmycin-mediated inhibition and stimulation of transcription at the <i>trp</i> promoter of <i>Escherichia coli.</i> ;J. Bacteriol. 153:1120–1123.
76;Bollen, A., T. Cabezon, M. De Wilde, R. Villarroel, and A. Herzog;1975;. Alteration of ribosomal protein S17 by mutation linked to neamine resistance in <i>Escherichia coli.</i> I. General properties of <i>neaA</i> mutants. ;J. Mol. Biol. 99:795–806.
77;Boos, W., C. Bantlow, D. Benner, and E. Roller;1983;. <i>cir,</i> a gene conferring resistance to colicin 1, maps between <i>mgl</i> and <i>fpk</i> on the <i>Escherichia coli</i> chromosome. ;Mol. Gen. Genet. 191:401–406.
78;Borg-Oliver, S. A., D. Tarlington, and K. D. Brown;1987;. Defective regulation of the phenylalanine biosynthetic operon in mutants of the phenylalanyl transfer RNA synthetase operon. ;J. Bacteriol. 169:1949–1953.
79;Boronat, A., E. Caballero, and J. Aguilar;1983;. Experimental evolution of a metabolic pathway for ethylene glycol utilization by <i>Escherichia coli.</i> ;J. Bacteriol. 153:134–139.
80;Bourd, G. I., R. S. Erlagaeva, T. N. Bolshakova, and V. N. Gershanovitch;1975;. Glucose catabolite repression in <i>Escherichia coli</i> K12 mutants defective in methyl-α-D-glucose transport. ;Eur. J. Biochem. 53:419–427.
81;Bourret, R. B., and M. S. Fox;1988;. Lysogenization of <i>Escherichia coli him</i>+, <i>himA,</i> and <i>himD</i> hosts by bacteriophage Mu. ;J. Bacteriol. 170:1672–1682.
82;Boy, E., and U. C. Patte;1972;. Multivalent repression of aspartic semialdehyde dehydrogenase in <i>Escherichia coli</i> K-12. ;J. Bacteriol. 112:84–92.
83;Brana, H., J. Hubacek, D. Michaljanicova, I. Holubova, and K. Cejka;1977;. Membrane mutation affecting energy-linked functions in <i>Escherichia coli</i> K12. ;Folia Microbiol. 22:198–205.
84;Branes, L. V., J. M. Somers, and W. W. Kay;1981;. Hydrophobic peptide auxotrophy in <i>Salmonella typhimurium.</i> ;J. Bacteriol. 147:986–996.
84a;Braun, V;1989;. The structurally related <i>exbB</i> and <i>tolQ</i> genes are interchangeable in conferring <i>tonB</i>-dependent colicin, bacteriophage, and albomycin sensitivity. ;J. Bacteriol. 171: 6387–6390.
85;Braun, V., J. Frenz, K. Hantke, and K. Schaller;1980;. Penetration of colicin M into cells of <i>Escherichia coli.</i> ;J. Bacteriol. 142:162–168.
86;Braun, V., K. Guenthner, K. Hantke, and L. Zimmermann;1983;. Intracellular activation of albomycin in <i>Escherichia coli</i> and <i>Salmonella typhimurium.</i> ;J. Bacteriol. 156:308–315.
87;Braun, V., K. Hantke, and W. Stauder;1977;. Identification of the <i>sid</i> outer membrane receptor protein in <i>Salmonella typhimurium</i> SL1024. ;Mol. Gen. Genet. 155:227–229.
88;Braun-Breton, C., and M. Hofnung;1981;. In vivo and in vitro functional alterations of the bacteriophage lambda receptor in <i>lamB</i> missense mutants of <i>Escherichia coli</i> K-12. ;J. Bacteriol. 148:845–852.
89;Breckenridge, L., and L. Gorini;1970;. Genetic analysis of streptomycin resistance in <i>Escherichia</i> <i>coli.</i> ;Genetics 65:9–25.
90;Breeze, A. S., and E. E. Obaseiki-Ebor;1983;. Mutations to nitrofurantoin and nitrofurazone resistance in <i>Escherichia coli</i> K12. ;J. Gen. Microbiol. 129:99–103.
91;Brenchley, J. E., C. A. Baker, and L. G. Patil;1975;. Regulation of ammonia assimilatory enzymes in <i>Salmonella typhimurium.</i> ;J. Bacteriol. 124:182–189.
92;Brickman, E., L. Soll, and J. Beckwith;1973;. Genetic characterization of mutations which affect catabolite-sensitive operons in <i>Escherichia coli,</i> including deletions of the gene for adenyl cyclase. ;J. Bacteriol. 116:582–587.
93;Brochu, A., N. Brochu, T. I. Nicas, T. R. Parr, Jr., A. A. Minnick, Jr., E. K. Dolence, J. A. McKee, M. J. Miller, M. C. Lavoie, and F. Malouin;1992;. Modes of action and inhibitory activities of new siderophore-beta lactam conjugates that use specific iron uptake pathways for entry into bacteria. ;Antimicrob. Agents Chemother. 36:2166–2175.
94;Brown, K. D;1970;. Formation of aromatic amino acid pools in <i>Escherichia coli</i> K-12. ;J. Bacteriol. 104:177–188.
95;Brown, K. D., and R. L. Somerville;1971;. Repression of aromatic amino acid biosynthesis in <i>Escherichia coli</i> K-12. ;J. Bacteriol. 108:386–399.
96;Brown, T. D. K., M. C. Jones-Mortimer, and H. L. Kornberg;1977;. The enzymic interconversion of acetate and acetyl-coenzyme A in <i>Escherichia coli.</i> ;J. Gen. Microbiol. 102:327– 336.
97;Bruce, I., J. Hardy, and K. A. Stacey;1984;. Potentiation by purines of the growth-inhibitory effects of sulphonamides on <i>Escherichia coli</i> and the location of the gene which mediates this effect. ;J. Gen. Microbiol. 130:2489–2495.
98;Bruni, C. B., V. Colantuoni, L. Sbordone, R. Cortese, and F. Blasi;1977;. Biochemical and regulatory properties of <i>Escherichia coli</i> K-12 <i>hisT</i> mutants. ;J. Bacteriol. 130:4–10.
99;Brunner, D. P., G. S. Graham, and R. W. Treick;1982;. Exchange of colicin receptor capacity between strains of <i>Escherichia coli</i> sensitive or resistant to colicin K-K235. ;Arch. Microbiol. 131:229–234.
100;Buchstein, S. R., and D. C. Hinkle;1982;. Genetic analysis of two bacterial RNA polymerase mutants that inhibit the growth of bacteriophage T7. ;Mol. Gen. Genet. 188:211–218.
101;Buckel, P., A. Buchberger, A. Boeck, and H. G. Wittmann;1977;. Alteration of ribosomal protein L6 in mutants of <i>Escherichia coli</i> resistant to gentamicin. ;Mol. Gen. Genet. 158:47–54.
102;Buhr, A., G. A. Daniels, and B. Erin;1992;. The glucose transporter of <i>Escherichia coli</i> mutants with impaired translocation activity that retain phosphorylation activity. ;J. Biol. Chem. 267:3847– 3851.
103;Bullas, L. R., and C. Colson;1975;. DNA restriction and modification systems in <i>Salmonella.</i> III. SP, a <i>Salmonella potsdam</i> system allelic to the SB system in <i>Salmonella typhimurium.</i> ;Mol. Gen. Genet. 139:177–188.
104;Burd, G. I., G. I. Erlagaeva, T. N. Bol’shakova, and V. N. Gershanovich;1974;. Separation of the α-methylglucoside transport and phosphorylation system in a mutant of <i>Escherichia coli</i> K12 resistant to catabolic repression by glucose. ;Dokl. Akad. Nauk SSSR 215:1243–1246.
105;Burman, L. G., and K. Nordstrom;1971;. Colicin tolerance induced by ampicillin resistance in a strain of <i>Escherichia coli</i> K-12. ;J. Bacteriol. 106:1–13.
106;Burns, R. O., J. G. Hofler, and G. H. Luginbuhl;1979;. Threonine deaminase from <i>Salmonella</i> <i>typhimurium.</i> Substrate-specific patterns of inhibition in an activation site-deficient form of the enzyme. ;J. Biol. Chem. 254:1074–1079.
107;Burton, K;1977;. Transport of adenine, hypoxanthine and uracil into <i>Escherichia coli.</i> ;Biochem. J. 168:195–204.
108;Buttin, G;1963;. Mécanismes regulateurs dans la biosynthèse des enzymes du metabolisme du galactose chez <i>Escherichia coli</i> K12. ;J. Mol. Biol. 7:183–205.
109;Buxton, R. S;1971;. Genetic analysis of <i>Escherichia coli</i> K-12 mutants resistant to bacteriophage BF23 and the E-group colicins. ;Mol. Gen. Genet. 113:154–156.
110;Buxton, R. S., K. Hammer-Jespersen, and T. D. Hansen;1978;. Insertion of bacteriophage lambda into the <i>deo</i> operon of <i>Escherichia coli</i> K-12 and isolation of plaque-forming λ <i>deo</i>+ transducing bacteriophages. ;J. Bacteriol. 136:668–681.
111;Buxton, R. S., K. Hammer-Jespersen, and P. Valentin-Hansen;1980;. A second purine nucleoside phosphorylase in <i>Escherichia coli</i> K-12. I. Xanthosine phosphorylase regulatory mutants isolated as secondary-site revertants of a <i>deoD</i> mutant. ;Mol. Gen. Genet. 179:331–340.
112;Calcott, P. H., and K. N. Calcott;1984;. Involvement of outer membrane proteins in freeze thaw resistance of <i>Escherichia coli.</i> ;Can. J. Microbiol. 30:339–344.
113;Calendar, R., B. Lindquist, G. Sironi, and A. J. Clark;1970;. Characterization of REP– mutants and their interaction with P2 phage. ;Virology 40:72–83.
114;Caligiuri, M. G., and R. Bauerle;1991;. Identification of amino acid residues involved in feedback regulation of the anthranilate synthase complex from <i>Salmonella typhimurium:</i> evidence for an amino-terminal regulatory site. ;J. Biol. Chem. 266:8328–8335.
115;Calvo, J. M., M. Freundlich, and H. E. Umbarger;1969;. Regulation of branched-chain amino acid biosynthesis in <i>Salmonella typhimurium:</i> isolation of regulatory mutants. ;J. Bacteriol. 97:1272– 1282.
116;Calvo, J. M., P. Margolin, and H. E. Umbarger;1969;. Operator constitutive mutations in the leucine operon of <i>Salmonella typhimurium.</i> ;Genetics 61:777–787.
117;Calvo, R. A., and J. M. Calvo;1967;. Lack of end-product inhibition and repression of leucine synthesis in a strain of <i>Salmonella typhimurium.</i> ;Science 156:1107–1109.
118;Campbell, J. H., J. Lengyel, and J. Langridge;1973;. Evolution of a second gene for β- galactosidase in <i>Escherichia coli.</i> ;Proc. Natl. Acad. Sci. USA 70:1841–1845.
119;Cannon, M., T. Cabezon, and A. Bollen;1979;. Mapping of neamine resistance: identification of two genetic loci, <i>neaA</i> and <i>neaB.</i> ;Mol. Gen. Genet. 130:321–326.
120;Cardelli, J., and J. Konisky;1974;. Isolation and characterization of an <i>Escherichia coli</i> mutant tolerant to colicins Ia and Ib. ;J. Bacteriol. 119:379–385.
121;Casse, F;1970;. Mapping of the gene <i>chlB</i> controlling membrane bound nitrate reductase and formic hydrogen-lyase activities in <i>Escherichia coli</i> K-12. ;Biochem. Biophys. Res. Commun. 39:429– 436.
122;Casse, F., M. C. Pascal, M. Chippaux, and J. Ratouchniak;1972;. Mapping of the <i>chlB</i> gene in <i>Salmonella typhimurium</i> LT2. ;Mol. Gen. Genet. 119:67–70.
123;Caster, J. H;1967;. Selection of thymine-requiring strains from <i>Escherichia coli</i> on solid medium. ;J. Bacteriol. 94:1804.
124;Chai, T., and J. Foulds;1974;. Missing outer membrane protein in <i>tolG</i> mutants of <i>Escherichia coli.</i> ;J. Mol. Biol. 85:465–474.
125;Chai, T.-J., V. Wu, and J. Foulds;1982;. Colicin A receptor role of two <i>Escherichia coli</i> outer membrane proteins (OmpF protein and <i>btuB</i> gene product) and lipopolysaccharide. ;J. Bacteriol. 151:983–988.
126;Chang, G. W., D. Straus, and B. N. Ames;1971;. Enriched selection of dominant mutations: histidine operator mutations. ;J. Bacteriol. 107:578–579.
127;Chater, K. F., and R. J. Rowbury;1970;. A genetical study of the feedback-sensitive enzyme of methionine synthesis in <i>Salmonella typhimurium.</i> ;J. Gen. Microbiol. 63:111–120.
128;Chattopadhyay, M. K., A. K. Ghosh, and S. Sengupta;1991;. Control of methionine biosynthesis in <i>Escherichia coli</i> K12: a closer study with analog resistant mutants. ;J. Gen. Microbiol. 137:685–691.
129;Chen, M. X., N. Bouquin, V. Norris, S. Casaregola, S. J. Seror, J. Simone, and I. B. Holland;1991;.  A single base change in the acceptor stem of tRNA Leu 3 confers resistance upon <i>Escherichia</i> <i>coli</i> to the calmodulin inhibitor 48/80. ;EMBO J. 10:3113–3122.
130;Chippaux, M., D. Giudici, A. Abou-Jaoude, and M. C. Pascal;1978;. A mutation leading to the total lack of nitrate reductase activity in <i>Escherichia</i> coli K12. ;Mol. Gen. Genet. 160:225–229.
131;Christman, M. F., R. W. Morgan, F. S. Jacobson, and B. N. Ames;1985;. Positive control of a regulon for defenses against oxidative stress and some heat-shock proteins in <i>Salmonella typhimurium.</i> ;Cell 41:753–762.
132;Clark, D., and J. E. Cronan, Jr;1980;. <i>Escherichia coli</i> mutants with altered control of alcohol dehydrogenase and nitrate reductase. ;J. Bacteriol. 141:177–183.
133;Clark, D. P., and J. P. Beard;1979;. Altered phospholipid composition in mutants of <i>Escherichia</i> <i>coli</i> sensitive or resistant to organic solvents. ;J. Gen. Microbiol. 113:267–279.
134;Clement, J. M., C. Braun-Breton, E. Lepouce, C. Marchal, D. Perrin, H. Villarroya, and M. Hofnung;1982;. A system for genetic analysis in gene <i>lamB:</i> first results with lambda resistant tight mutants. ;Ann. Microbiol. 133A:9–20.
135;Clement, J.-M., E. Lepouce, C. Marchal, and M. Hofnung;1983;. Genetic study of a membrane protein: DNA sequence alterations due to 17 <i>lamB</i> point mutations affecting adsorption of phage lambda. ;EMBO J. 2:77–80.
136;Clifton, G., S. R. Bryant, and C. G. Skinner;1970;. N1-(substituted) pantothenamides, antimetabolites of pantothenic acid. ;Arch. Biochem. Biophys. 137:523–528.
137;Cohen, G., and F. Jacob;1959;. Sur la répression de la synthese des enzymes intervenant dans la formation du tryptophane chez <i>Escherichia coli.</i> ;C.R. Acad. Sci. Ser. D 248:3490–3492.
138;Cohen, G. N., J.-C. Patte, P. Truffa-Bachi, C. Sawas, and M. Doudoroff;1965;. Repression and end-product inhibition in a branched biosynthetic pathway, p. 243–253. <i>In</i> ;Mécanismes de Regulation des Activitiés Cellulaires chez les Micro-organismes. Centre National de la Recherche Scientifique, Paris.
139;Cole, S. T., and J. R Guest;1979;. Production of a soluble form of fumarate reductase by multiple gene duplications in <i>Escherichia coli</i> K12. ;Eur. J. Biochem. 102:65–71.
140;Coleman, J., S. Inouye, and M. Inouye;1983;. Isolation of mutants of the major outer membrane lipoprotein of <i>Escherichia coli</i> for the study of its assembly. ;Methods Enzymol. 97:124–129.
