Genes for which selections exist in <i>E. coli</i> and <i>S. typhimurium</i>
Gene;Organism;Selection;References;Alteration
argR;E;Acetylhistidine satisfaction of <i>his</i>;49, 50, 403;C
argR;E;Acetylmethionine satisfaction of <i>met</i>;402;C
argR;E;Indospicine resistance;454;C
argR;E;Canavanine resistance;482, 523;C
argR;E;Glycylglycyl-<i>N</i>-phosphonoacetylornithine resistance;604;C
argR;E;Canavanine + azauracil resistance;605;C
argR;E;Canavanine + thiouracil resistance;605;C
argR;E;Acetylnorvaline resistance in <i>argR</i>(Con);402
argS;E;Canavanine resistance;322;S
argS;E;Mecillinam resistance (beta-lactam resistance);802;S
argT;S;Hydrazino (α) imidazole propionic acid resistance;432, 433
aroA;E, S;Glyphosate resistance;512, 731,869;C, D
aroF;E;Amino(4)phenylalanine resistance;504;C
aroF;S;Fluoro(4)phenylalanine resistance;270, 729;C
aroG;E, S;Methyl(3)anthranilate resistance;307;FBI, S
aroG;E;Thienylalanine resistance;215;FBI, S
aroG;E;Fluorophenylalanine resistance;351;FBI, S
aroH;E;Tryptophan analog resistance;637;FBI, S
aroP;E, S;Methyl(5)tryptophan resistance;12, 94, 288, 303, 393, 437-439;L, C
aroP;E, S;Fluoro(5)tryptophan resistance;12, 94, 288, 303, 393, 437-439;L
aroP;E, S;Azaserine resistance;12, 94, 288, 303, 393, 437-439, 836, 837;L
aroP;E, S;Thienylalanine resistance;12, 94, 288, 303, 393, 437-439;L
aroP;E, S;Fluorophenylalanine resistance;12, 94, 288, 303, 393, 437-439;L
aroP;E, S;Azaleucine resistance;12, 94, 288, 303, 393, 437-439;L
aroP;E, S;Methyl(5)tryptophan + thienylalanaine resistance;12, 94, 288, 303, 393, 437-439;L
aroT;E, S;Indole acrylic acid resistance;769;L
aroT;E;Methyl(4)tryptophan resistance in <i>aroP</i>;594;L
asm;S;Methionine sulfoxamine resistance;188
atoB;S;Dinitropyrene resistance;590;L
atoC;E;Butyrate as C source in <i>fadR</i>(Con);602;C
atoC;E;Valerate as C source in <i>fadR</i>(Con);602;C
atoC;E;Penten(4)oate resistance in <i>atoC</i>(Con);669;L
<i>atpA-atpE</i>;E;Uncoupler resistances, including DCCD;225, 226, 229, 355, 537;L
<i>atpA-atpE</i>;E;Tributyl tin resistance;355
<i>atpA-atpE</i>;E;CCCP resistance;355
<i>atpA-atpE</i>;E;Pentachlorophenol resistance;355
<i>atpA-atpE</i>;E;Auroventin resistance;451, 685, 818;L
<i>atpA-atpE</i>;E;Kanamycin resistance;768;L
<i>atpA-atpE</i>;E;Neomycin resistance;392;L
<i>atpA-atpE</i>;E;Azide resistance;355
atr;S;Acid resistance;233
azaAB;E;Azaserine resistance;836
azl;E;Azaleucine resistance;610
bglBC;E;Arbutin as C source;523, 616, 640
bglBC;E;Salicin as C source;523, 616, 640
bglT;E;Methyl(β)glucoside as C source;686;C
bio operon;E;Dehydrobiotin resistance;206
bioP;E;Dehydrobiotin resistance;206;L
birA;E;Dehydrobiotin resistance;206, 597
brnQ;E;Methyl(<i>o</i>)threonine resistance;278;L
brnQ;E;Valine resistance;277;L
btuB;E;Colicin E3 tolerance;46, 47, 109, 284, 388, 620
btuB;E, S;Bf23 phage resistance;46, 47, 109, 284, 388, 528, 620
bymA;E;Maltose utilization in <i>malT</i>;327
cbt;E;Chloroacetate(β) resistance;68;L
cbt;E;Colicin B tolerance;623;L
cbt;E;Colicin D tolerance;623;L
cdd;E;Aza(5)-2′-deoxycytidine resistance;196;L
cdd;E, S;Fluoro(5)deoxycytidine resistance;53, 579;L
celABCDF;E;Cellobiose as C source;426
cet;E;Colicin E2 tolerance;201
che;S;Migration in a chemotaxis gradient;34
chlABDEG;E, S;Chlorate resistance;2, 121, 122, 228, 266, 523, 743, 744;L
chlABDE;E;Lactate + fumarate as anaerobic energy source;436;L
chlC;S;Chlorate resistance;45;L
chlE;E;Lactate + nitrate as anaerobic energy source;799
chlE;E;Biotin sulfoxide utilization in <i>chl bio</i>;180
cirA;E;Colicin I resistance;77, 93, 620;L
cirA;E;Siderophore-beta-lactam conjugate resistance;93;L
cit;E;Citrate as C source;290
cls;E;Dihydroxy(3,4)butyl-1-phosphonate resistance;345;L
cmlA;E;Chloramphenicol resistance;48
cmlA;E;Tetracycline resistance;523, 638
coaA;E;Coenzyme A feedback resistance;789, 790;FBI, S
codA(<i>cod</i>);E, S;Fluoro(5)cytosine resistance;4, 54;L
corABCD;E, S;Cobalt resistance;262, 600, 817
corABCD;E;Manganese resistance;600
corABCD;E;Nickel resistance;817
cpd;S;Succinate as improved C source;8, 530;L
cpd;S;Citrate as C source in presence of low cAMP;8;L
cpdB;E;Fluorouracil(5) and 3′-AMP resistance;51;L
cpxA;E;Amikacin resistance;629
cpxA;E;Colicin A tolerance;629
cpxA;E;Kanamycin resistance;768
cpxA;E;Q phage resistance;508, 711
cpxA;E;Serine (L) as C source;567
crg;E;Cold-resistant growth;398
crp;S;Fosfomycin resistance;10;L
crp;E;Serine (L) resistance in <i>relA</i>;167;L
crp;E;Lambda phage + nalidixic acid resistance;429;L
crp;E;Streptomycin + cAMP resistance;31;L
crp;E;Lambda phage resistance with maltose and arabinose as C sources;92, 766;L
crp;E;cAMP + glucose 6-phosphate resistance;1a;L
crp;E;cAMP + glucose 6-phosphate + D-xylose + L-arabinose resistance;1a;L
crp;E;Fluorouracil(5) + 5′-AMP + 3′-AMP resistance;52;L
crp;E;Osmotolerance;282;L
crp;E;Beta-lactam resistance;362;L
crp;E;Mecillinam resistance;25, 168, 857;L
crp;E;UV light resistance;627;L
crp;E;Rifampin resistance;413;L
crp;E;T6 phage resistance;6;L
crr;E;Thio(5)glucose resistance;419;L
crr;S;Methylglucoside(α)-resistant utilization of glycerol in <i>ptsHI</i>;563;L
cxm;E;Xylose (D) + cAMP resistance;1a;L
cyaA;E;Lambda phage resistance with maltose and arabinose as C sources;92;L
cyaA;E;Lambda phage + nalidixic acid resistance;429;L
cyaA;E;Serine (L) resistance in <i>relA</i>;167;L
cyaA;S;Fosfomycin resistance;10;L
cyaA;E;Osmotolerance;282;L
cyaA;E;Beta-lactam resistance;362;L
cyaA;E;Mecillinam resistance;25, 168, 857;L
cyaA;E;UV light resistance;627;L
cyaA;E;Rifampin resistance;413;L
cyaA;E;T6 phage resistance;6;L
cycA;E;Cycloserine (D) resistance;150, 646, 813;L
cycA;E;Serine (D) resistance;689;L
cysA;S;Chromate resistance;581;L
cysA;E;Selenate resistance;728;L
cysA;S;Azaserine resistance;340, 689;L
cysB;S;Chromate resistance;340;L
cysB;S;Azide resistance;227;C
cysB;S;Selenate resistance;339;L
cysB;E;Novobiocin resistance;631;L
cysB;S;Triazole resistance;227;C
cysB;S;Azaserine resistance;340;L
cysC;S;Azaserine resistance;340;L
cysC;S;Chromate resistance;581;L
cysD;S;Azaserine resistance;340;L
cysD;S;Chromate resistance;581;L
cysE;S;Triazole resistance in <i>cysM</i>;717, 825;C
cysE;S;Triazole resistance;341;C
cysE;E;Novobiocin resistance;631;L
cysG;S;Azaserine resistance;340;L
cysH;S;Azaserine resistance;340;L
cysH;S;Chromate resistance;581;L
cysI;S;Azaserine resistance;340;L
cysI;S;Chromate resistance;581;L
cysJ;S;Azaserine resistance;340;L
cysJ;S;Chromate resistance;581;L
cysK;S, E;Azaserine resistance;340, 827;L
cysK;S;Azide resistance;147, 227;L
cysK;E;Selenate resistance;230;L
cysK;E, S;Triazole resistance;147, 227, 826, 827;L, C
cysK;E;Selenite resistance;230;L
cysL;S;Selenate resistance;673, 674
cysL;S;Chromate + selenate resistance;338
cysM;S;Azaserine resistance;340;L
cytR;E;Uridine as C source, improved utilization;546
dadA;E, S;Chloro(β)-D-alanine resistance;832;L
dadA;E, S;D-Amino acid satisfaction of amino acid auxotrophy;428, 831;C
dcm;E;Aza(5)cytidine resistance;247;L
dct;E;Fluoro(3)malate resistance;401;L
dct;E;Tartrate resistance;687;L
dct;S;Malate (L) as improved C source;745;D
deoA;E;Deoxyadenosine + fluorouracil resistance in <i>upp</i>;3;L
deoA;E;Thymidine resistance in <i>deoC</i>;3
deoB;E;Thymidine resistance in <i>deoC</i>;3, 651;L
deoB;E, S;Thymineless death prevention by low thymine levels in <i>thyA</i>;71, 471
deoC;E;Thymineless death prevention by low thymine levels in <i>thyA</i>;325, 471, 651;L
deoD;E;Deoxy(2)adenosine resistance in <i>deoC</i>;651;L
deoD;E;Deoxyadenosine + fluorouracil resistance in <i>upp</i>;3;L
deoR;E;Inosine as improved C source;546;C
deoR;S;Diamino(2,6)purine satisfaction of purine auxotrophy;251
deoR;S;Uridine resistance in <i>thyA deoB</i>;71
dgd;E;Arabitol (D) as C source in <i>fuc</i>;849
dgoR;E;Keto(2)-3-deoxygalactonate as C source;144;C
dgsA;E;Glucosamine as anaerobic C source in <i>ptsG</i>;652;L
dhuA;E, S;Histidine (D) satisfaction of <i>his</i> auxotrophs;422, 428, 546
dhuA;S;Azaserine + tryptophan resistance;432
dld;E;Vinylglycolate resistance;696;L
dml;S;Malate (D) as C source;737
dnaB;E;Lambdoid phage mixture coinfection resistance;259
dnaB;E;Phenethyl alcohol resistance;494
dnaE;E;Acriflavin (acridine) resistance;553-555
dnaE;E;Globomycin resistance;668;S
dnaJ;E;Lambda phage induction, resistance to;667;S
dnaJ;E;Lambdoid phage mixture coinfection resistance;257, 259;S
dnaJ;E;P2 phage + lambda phage coinfection resistance;753;S
dnaK;E;Lambda phage induction, resistance to;667;S
dnaK;E;Lambdoid phage mixture coinfection resistance;257, 259;S
dnaK;E;P2 phage + lambda phage coninfection resistance;753;S
dnaP;E;Phenethyl alcohol resistance;809
dor;S;Drug-resistant gene maintenance;814
dppA;E, S;Bacilysin resistance;1;L
dppA;E, S;Bialaphos resistance;1;L
dppA;E, S;Valine-containing dipeptide resistance;1;L
dppA;E;Lysyl-2-aminoxypropionate resistance;603;L
dppA;E;Glycylleucine resistance;269;L
dppA;E;Phenylalanylleucine resistance;269;L
dppA;E;Glycylvaline resistance in <i>opp</i>;178;L
dsdA;E;Sucrose as C source;5;L
dsdC;E;Sucrose as C source;5
ebgA;E;Lactose utilization in ∆<i>lacZ</i>;118;Q
ecfB;E;Serine (L) as C source;567, 768
ecfB;E;Kanamycin resistance;567, 768
ecfB;E;Neomycin resistance;608
ecfB;E;Colicin K resistance;608
edd;E;Gluconate as C source in <i>eda</i>;239, 240;L
emrB;E;CCCP resistance due to gene dosage;472;D
emrB;E;Nalidixic acid resistance due to gene dosage;472;D
emrB;E;Thiolactomycin resistance due to gene dosage;250;D
emrB;E;Thiolactomycin resistance;250
envB;E, S;Mecillinam resistance;359, 587
envB;E;UV light resistance;24
envM;E, S;Diazoborine resistance;63;S
envZ;E;Ampicillin resistance;362, 363
envZ;E;Colicin L tolerance;812
envZ;E;Lambda phage resistance;812
envZ;E;Me1 phage resistance;801
envZ;E;TPI phage resistance;812
envZ;E;TuIa phage resistance;801
envZ;E;Freeze-thaw resistance;112
envZ;E;Colicin (multiple) resistance;626
eryC;E;Erythromycin resistance;599
eryD;E;Erythromycin resistance;830
exbB;E;Albomycin resistance;205
exbB;E;Colicin I resistance;283, 624
exbB;E;Colicin (other) resistance;283, 624
exbC;E;Colicin B resistance;624
exbC;E;Colicin I resistance;283, 624
exbC;E;Colicin (other) resistance;283, 624
exuR;E;Aldohexuronate resistance in <i>eda</i>;612
exuR;E;Hexuronate as C course in noninducible <i>exuR eda</i>;612;C
exuT;E;Aldohexuronate resistance in <i>eda</i>;612;L
fadB;E;Thiolactomycin resistance (due to gene dosage);778;D
fadL;E;T2 phage resistance in <i>ompF</i>+ or <i>ompF</i>;70, 534;L
fadR;E;Decanoate as C source;713;L
fba;E;Streptozotocin resistance;456;L
fepABCDG;E;Colicin B resistance;623, 624;L
fepABDCG;E;Colicin D resistance;623;L
fhuA;E, S;Albomycin resistance;87, 387, 388, 478,479;S
fhuA;S;ES18 phage resistance;87, 478, 479;S
fhuA;E;T1 phage resistance;93, 409,870;S, L
fhuA;E;T5 phage resistance;93, 151, 387,870;L
fhuA;E;Φ80 phage resistance;151, 387, 409,870;L, S
fhuA;E;Colicin M resistance;151, 387, 409;L, S
fhuA;E;Beta-lactam conjugate resistance;93;L
fhuB;E;Albomycin resistance;618;L
fliC;E, S;Chi phage resistance;347, 349, 416, 417, 513, 710
fliC;S;Prolonged static cultivation;249
flrB;S;Trifluoroleucine resistance;115, 117
folA;E;Sulfonamide resistance;607, 697;S, D
folA;S;Trimethoprim resistance;405, 654, 718, 719;S, D
folP;E;Sulfonamide resistance;756;S
fruA;E;Deoxy(2)glucose-independent fructose utilization;11
fruA;E;Xylitol resistance;614, 639;L
fruA;E;Sorbose (L) resistance;715;L
fts (generic);E;Filter retention;55
ftsZ;E;UV irradiation resistance in <i>lon</i>;373
ftsZ;E;Methyl methanesulfonate resistance in <i>lon</i>;373
ftsZ;E;Nitrofurantoin resistance in <i>lon</i>;252
fucA;E;Propanediol as C source;287
fucA;E;Ethyleneglycol as C source in propanediol utilizer;79
fucA;E;Fucose (L) as C source in propanediol utilizer;287
fucA;E;Xylitol as C source in propanediol utilizer;848
fucA;E;Arabinose (D) as C source;450
fur;E;Manganese resistance;300;C
fusA;E;Fusidic acid resistance;65, 434, 695, 761;S
gabC;E;Aminobutyrate as N source;197
gadS;E;Glutamate as C source;292;L
gal operon;E;Galactose utilization in the presence of thiomethylglucoside;636;D
gal operon;S;Deoxy(2)galactose resistance;9, 552;L
gal operon;E;Galactose resistance in <i>galU</i>;664;L
galC;S;Glucose as C source in ∆<i>ptsHI</i>;613
galE;E, S;P1 phage infection of <i>Salmonella</i> sp. monitored by drug resistance;527;L
galE;E;U3 phage resistance;816;L
galE;S;Deoxy(2)galactose resistance;408;L
galE;S;Felix O phage resistance;334, 527, 591, 833;L
galE;S;P22 phage resistance;334, 527, 591, 833;L
galK;S;Deoxy(2)galactose resistance;408;L
galK;E, S;Galactose resistance in <i>galE</i>;569, 752;L
galK;E;Galactose resistance in <i>galT</i>;859;L
galK;E;Galactose resistance in <i>galU</i>;664;L
galP;S;Deoxy(2)galactose resistance;552;L
galR;E;Thiomethylgalactoside-independent utilization of galactose in <i>galR</i>(Con);108
galR;S;Glucose utilization in ∆<i>ptsHI</i>;613
galR;E;Galactose resistance in <i>galT</i>+<i>K</i>+<i>E</i>+/<i>galT</i>+<i>K</i>+<i>E</i>+ <i>galU</i>;664
galT;E;Streptozotocin resistance;456;L
galU;E;Ampicillin resistance;212;L
galU;E;P1 phage resistance;242;L
galU;E;U3 phage resistance;816;L
galU;S;Felix O phage resistance;334;L
garA;S;Gamma irradiation resistance;346
garA;E;Glucarate (D) resistance in <i>ppc</i>;647;L
garB;S;Gamma irradiation resistance;346
gatACD;E;Fucitol resistance in galactitol-utilizing strains;184;L
gatACD;E;Deoxy(2)galactitol resistance in galactitol-utilizing strains;184;L
gatACD;E;Arabitol utilization;466, 845
gatACD;E;Ribitol utilization;466, 845
gatACD;E;Arbitol (D) resistance;639;L
gleR;S;Glycylleucine resistance in <i>ilv</i>;580
glnA;S;Histidine(D) + glycylglutamine satisfaction of <i>his</i> auxotrophs;819;L
glnA;E;Methylammonium resistance;694;S
glnA;E;Methionine sulfoxamine resistance in <i>glnG</i>;592;C
glnA;S;Glutamyl(γ)hydrazide resistance;518,871;S
glnF;S;Glutamyl(γ)hydrazide resistance;433;L
glnH;S;Glutamyl(γ)hydrazide resistance;433;L
glnP;E;Glutamine as C source;433, 501, 820
glnP;E, S;Methionine sulfoxamine resistance;37, 501;L
glnP;E;Glutamyl(γ)hydrazide resistance;501, 821;L
glnP;E;Glutamine (D) resistance;501;L
glnV;E;Caffeine resistance;185;S
glpD;E;Streptozotocin resistance;456;L
glpF;E;Glyceraldehyde (L) resistance;762;L
glpK;E;Glyceraldehyde (L) resistance;762;L
glpK;E, S;Methyl(α)glucoside-resistant glycerol utilization in <i>ptsI</i>;64, 665
glpT;E, S;Fosfomycin resistance;10, 29, 313, 707, 800;L
glpT;E;Glyceraldehyde (DL) 3-phosphate resistance;762;L
glpT;E;Arsenate resistance;838;L
glpT;E;Dihydroxybutyl phosphonate resistance;285, 453;L
glpT;E;Fluorohydroxyacetone phosphate resistance;515;L
glpT;E;Chlorohydroxyacetone phosphate resistance;515;L
glpT;E;Glycerol 3-phosphorothioate resistance;295;L
gltA;E;Improved growth in <i>icd</i>;435;L
gltH;E;Glutamate as C source;496, 497, 687
gltR;E;Glutamate as C source at 42°C;497
gltS;E;Glutamate as C source;496, 687;Q
gltS;E;Glutamate as C source;496, 497, 687
gltS;E;Glutamate (D) resistance in <i>gltS</i> (increased);525, 716;L
gltS;E;Methyl(α)glutamate resistance in <i>gltS</i> (increased);391, 525, 716;L
gltS;E;Homocysteic acid resistance;213;L
gltX;E;Glutamyl-γ-methyl ester resistance;425
glyA;E;Serine + methionine + glycine resistance in <i>relA</i>;783
gntM;E;Glycerol + gluconate as C source in <i>eda</i>;217;L
gntR;E;Acetate + gluconate as C source in <i>ppc</i>;39
gntS;E;Acetate + gluconate as C source in <i>ppc</i>;39;L
gor;E;Methyl viologen tolerance;430;L
gprAB;E;Lambda phage resistance;578, 670
gpt;S;Aza(8)guanine resistance;272, 764;L
gpt;E;Sulfanilamide resistance in presence of guanine;97;L
groM;E;T7 phage resistance;427
grpD;E;Lambda mutant prophage induction, survival of;667
grpE;E;Lambda mutant prophage induction, survival of;667
gsh (generic);E;Nitrosoguanidine resistance;693;L
gsh (generic);E;Methylglyoxal resistance;548
gshAB;E, S;Selenite resistance;423;L
guaAB;E;Psicofuranine resistance;779
guaB;S;Fluoro(5)uracil + fluoro(5)uridine resistance;367;L
gurBCD;E;Glycerol + methylglucuronide a C source in <i>eda</i>;572;L
gyrA;E, S;Triazolealanine + aminotriazole resistance;660;S
gyrA;E, S;Nalidixic acid resistance;200, 298;S
gyrA;E;Quinolone resistance;860;S
gyrA;E;Oxolinic acid resistance;734;S
gyrA;E;Glucosides (β) as C source;194
gyrA;S;Thermotolerance;200
gyrB;S;Triaolealanine + aminotriazole resistance;660;S
gyrB;E;Aminotriazole resistance in <i>relA</i>;772;S
gyrB;E;Novobiocin resistance;255;S
gyrB;E;Coumermycin resistance;181, 255, 593;D, S
gyrB;E;Chlorobiocin resistance;589
gyrB;E;Glucosides (β) as C source;194
gyrB;E;Lambda mutant infection resistance;521
gyrB;E;Nalidixic acid resistance;333, 855;S
hem;E;Streptomycin resistance;57;L;(generic)
hemA;E;Kanamycin resistance;585;L
hemA;E, S;Neomycin resistance;683;L
hemB;E;Kanamycin resistance;585;L
hemB;E;Kanamycin-resistant, hemin-supported growth of <i>hemA</i>;507;L
hemB;E;Colicin K-type tolerance;83
hemC;S;Neomycin resistance;682;L
hemD;S;Neomycin resistance;681;L
hemE;S;Neomycin resistance;189, 680;L
hemBCF;E;Plate method;506;L
hemG;E;Neomycin resistance;679;L
hemL;E;Kanamycin resistance;350;L
hflC;E;Lambda mutant phage resistance;56
hflK;E;Lambda mutant phage resistance;56
hflX;E;Lambda mutant phage resistance;56
himA;E;Mu prophage induction, survival of;520, 522
himA;E;Mu phage lytic growth resistance;81
himA;E;Lambda mutant phage infection, survival of;519, 521
<i>himA (himC)</i>;E;Lambda mutant phage resistance;519, 521
himD;E;Mu prophage induction, survival of;520, 522
himD;E;Mu phage lytic growth resistance;81
hipA;E;Cycloserine resistance;541
hipA;E;Ampicillin resistance;541
hipA;E;Fosfomycin resistance;541
hipQ;E;Norfloxacin resistance;842
hipQ;E;Ampicillin resistance;842
his structural genes;E, S;Triazolealanine + aminotriazole resistance;98, 126, 658;C, Q
his structural genes;S;Aminotriazole resistance;20, 21;D
his structural genes;S;Growth at 42°C in <i>his</i>-overexpressing strain;804;Q
his structural genes;S;Histidinal satisfaction of <i>his</i> auxotroph requirement at 30°C;374, 375;Q
his structural genes;S;Histidine (D) satisfaction of <i>his</i> auxotroph requirement;374, 375;Q
hisG;E, S;Thiazolealanine resistance;540, 698, 824;S, FBI
hisG;S;Hydrazino (α) imidazole propionic acid resistance;699;S, FBI
hisG;S;Histidinal satisfaction of <i>his</i> auxotroph requirement at 30°C;374, 375;L
hisG;S;Histidine (D) satisfaction of <i>his</i> auxotroph requirement;374, 375;L
hisG;E;Histidine-resistant adenine → guanine nucleotide;33;S,FBI;conversion in <i>deoD purF add</i>
hisJ;S;Hydrazino (α) imidazole propionic acid resistance;13, 15;L
hisJ;S;Azaserine + tryptophan resistance in <i>dhuA</i>;15, 432
hisP;S;Hydrazino (α) imidazole propionic acid resistance in <i>dhuA</i>;14, 15;L
hisP;S;Arginine as N source;13, 15, 432;D
hisQ;S;Hydrazino (α) imidazole propionic acid resistance;13, 15;L
hisR;S;Triazolealanine + aminotriazole resistance;658;Q
hisR;S;Thiazolealanine resistance;706;Q
hisR;S;Methyl(2)histidine resistance + aminotriazole resistance;658;Q
hisS;S;Triazolealanine + aminotriazole resistance;658;S
hisS;S;Thiazolealanine resistance;657;S
hisT;E, S;Triazolealanine + aminotriazole resistance;98, 148, 658, 705, 784;L
hisT;E;Azaleucine resistance;98, 784;L
hisT;E;Serine resistance;98, 784;L
hisT;S;Amino(3)tyrosine resistance;148, 658, 705;L
hisT;S;Thialysine resistance;148, 658, 705;L
hisT;S;Trifluoroleucine resistance;148, 658, 705;L
hisT;S;Norleucine resistance;148, 658, 705;L
hisT;S;Hydroxy (β) leucine resistance;148, 658, 705;L
hisT;E;Phenyl galactoside resistance of <i>lacP lacI</i> (nonsense) <i>supE</i>;747
hisU;S, E;Triazolealanine + aminotriazole resistance;23, 660
hisU;S;Nalidixic acid resistance;593, 660
hisW;S, E;Triazolealanine + aminotriazole resistance;23
hisW;S;Coumermycin resistance;593, 660
hpt;E;Mercapto(6)purine resistance in <i>gpt</i>;371
hpt;E;Sulfanilamide + hypoxanthine resistance;97;L
hsd;E;Lambda <i>vir</i> resistance after infection with;183;L;heteromodified lambda <i>c</i>I857
hsd;S;Lactose utilization after conjugation of <i>F</i>′<i>lac</i> into <i>Salmonella</i> sp.;103;L
hut;S;Histidine as sole N or C source;509
icdE;E, S;Nalidixic acid resistance;91, 311;L
iclR;E;Butyrate or valerate as better C source;602;C
iclR;E;Glucose or glycerol as C source in <i>ppc</i>;488
ileR;E;Trifluoroleucine resistance;412
ileS;E;Pseudomonic acid resistance;858;S
ileS;E;Thiaisoleucine resistance;757;S
ilv structural genes;S;Sulfometuron methyl + valine resistance;872;C
ilv structural genes;E;Aminobutyrate resistance;633, 780;C
ilv structural genes;E;Valine resistance;268;C
ilv structural genes;S;Cyclopentane glycine resistance;586;C
ilvA;S;Cyclopentane glycine resistance;586;S, FBI
ilvA;E;Glyclleucine resistance;806;S, FBI
ilvA;S;Threonine as sole N source;106;S, FBI
ilvA;E;Growth on minimal medium of <i>ilvA+</i> (multicopy) <i>ilvDC</i> <i>hisT</i> overcoming 2-ketobutyrate accumulation;231;L
ilvB;E;Aminobutyrate resistance;633, 780;S, FBI
ilvB;E;Valine resistance;633, 755;S, FBI
ilvB;E;Glyclleucine resistance;269;S
ilvB;E;Phenylalanylleucine resistance;269;S
ilvF;E;Valine resistance;174, 610;G
ilvG;E, S;Sulfometuron methyl + valine resistance;441, 851,872;S, Q
ilvG;E;Valine resistance;221, 448, 720;G
ilvH;E;Aminobutyrate resistance;633, 780;S, FBI
ilvH;E;Valine resistance;633, 755;S, FBI
ilvH;E;Glyclleucine resistance;269;S
ilvH;E;Phenylalanylleucine resistance;269;S
ilvI;E;Aminobutyrate resistance;633, 780;S
ilvI;E;Valine resistance;633, 755
ilvI;E;Glyclleucine resistance;269
ilvI;E;Phenylalanylleucine resistance;269
ilvJ;E;Valine resistance;174, 361, 649;G
ilvU;E;Thiaisoleucine resistance;222
kdgR;E;Keto(2)-3-deoxygluconate as C source;377, 615;C
kdsA;S;9NA phage resistance in <i>galE</i>;452, 641
ksgA;E;Kasugamycin resistance;312, 726, 793;L
ksgB;E;Kasugamycin resistance;238, 726
ksgC;E;Kasugamycin resistance;861
ksgD;E;Kasugamycin resistance;238
lac;E;Growth in lactose-limited chemostats;330;D
lacI,operator;E;Methyl(α)glucoside-resistant utilization of lactose in <i>ptsH</i>;665;C;
lacI,operator;E;Raffinose as C source;459;C
lacI,operator;E;Neolactose as C source;459;C
lacI,operator;E;Phenyl galactoside as C source;523;C
lacI,operator;E;Lactobionic acid as C source;440;C
lacI,operator;E;Lactitol as C source;457;C
lacI,operator;E;Melibiose as C source;475;C
lacIoperator;E;Melibiose as C source and acetyl(<i>N</i>)lactonate as N source;475;C
lacI,operator;E;Lactobionic acid as C source;474
lacI,operator;E;Acetyl(<i>N</i>)lactonate as N source;474;Q
lacI,operator;E;Nitro(<i>o</i>)-phenylthiogalactoside resistance in <i>lacI</i>(Con) or <i>lacO</i>(Con);543, 571;Q
lacI,operator;E;Methyl(α)glucoside-resistant lactose utilization;406;C
lacY;E;Nitro(<i>o</i>)-phenylthiogalactoside resistance;523, 543, 721;L
lacY;E;Phenyl galactoside resistance;376;L
lacY;E;Phenethylyl galactoside resistance;376;L
lacY;E;Arabinose (L) growth in the presence of <i>lac</i> operon inducer;812;L
lacY;E;Thiodigalactoside resistance;241
lacZ;E;Lactobionic acid as C source;440;D
lacZ;E;Phenyl galactoside resistance;376, 500;L
lacZ;E;Phenethylyl galactoside resistance;376, 500;L
